"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"259",1,0,"3",1,"pollution","formal",2.64612222255095,3.93065385395545
"260",1,0,"3",1,"pollution","higher",4.00335022173063,4.82469322449569
"261",1,0,"3",1,"pollution","no_formal",0.582168229624673,1.70765022700796
"262",1,0,"3",1,"weather","formal",1.88793613589187,3.00023439477129
"263",1,0,"3",1,"weather","higher",3.13077802959794,3.89427376531153
"264",1,0,"3",1,"weather","no_formal",-0.00206944212532001,0.777230767823799
"265",1,0,"4",0,"corruption","formal",2.69947762547425,4.86019639692578
"266",1,0,"4",0,"corruption","higher",4.06475525370116,5.75423576746602
"267",1,0,"4",0,"corruption","no_formal",0.62328245860842,2.63719276997829
"268",1,0,"4",0,"iuu","formal",1.63155561797276,3.5887251205786
"269",1,0,"4",0,"iuu","higher",2.83571786629877,4.48276449111884
"270",1,0,"4",0,"iuu","no_formal",-0.199629328156926,1.36572149363111
"271",1,0,"4",0,"pollution","formal",1.16526931850698,3.09424955866515
"272",1,0,"4",0,"pollution","higher",2.29908383192979,3.98828892920539
"273",1,0,"4",0,"pollution","no_formal",-0.558936926597859,0.871245931717664
"274",1,0,"4",0,"weather","formal",0.531888346814036,2.16383009948099
"275",1,0,"4",0,"weather","higher",1.57014586716104,3.05786947002123
"276",1,0,"4",0,"weather","no_formal",-1.04700315564623,-0.0591735274665015
"277",1,0,"4",1,"corruption","formal",4.37123532484547,6.02713017528797
"278",1,0,"4",1,"corruption","higher",5.98872788538434,6.92116954582821
"279",1,0,"4",1,"corruption","no_formal",1.91149368167976,3.80412654834048
"280",1,0,"4",1,"iuu","formal",3.10603045613849,4.75565889894079
"281",1,0,"4",1,"iuu","higher",4.532643943447,5.64969826948103
"282",1,0,"4",1,"iuu","no_formal",0.936561063175386,2.5326552719933
"283",1,0,"4",1,"pollution","formal",2.55360463088961,4.26118333702734
"284",1,0,"4",1,"pollution","higher",3.89687467544027,5.15522270756759
"285",1,0,"4",1,"pollution","no_formal",0.510876678250633,2.03817971007986
"286",1,0,"4",1,"weather","formal",1.80321585389724,3.33076387784318
"287",1,0,"4",1,"weather","higher",3.03327615838332,4.22480324838342
